round,accuracy,client_reward,server_reward,pre_losses,post_losses
80,0.992700,0.001437,0.000800,"0.004849,0.000001,0.001583,0.009454,0.003340,0.007513,0.000705,0.002701,0.022252,0.001942","0.000000,0.000000,0.000001,0.000002,0.039761,0.000000,0.000002,0.000005,0.000002,0.000003"
81,0.992100,-0.004147,-0.000600,"0.002881,0.000000,0.001587,0.009276,0.001043,0.014611,0.000110,0.002678,0.020874,0.003457","0.000002,0.000000,0.000001,0.000000,0.088528,0.001103,0.000002,0.002495,0.000000,0.005038"
82,0.992000,0.004749,-0.000100,"0.002154,0.000000,0.001775,0.008811,0.000801,0.011154,0.000136,0.003366,0.026183,0.002460","0.000002,0.000000,0.000000,0.000000,0.000001,0.001536,0.000000,0.007738,0.000008,0.000002"
83,0.991900,0.003592,-0.000100,"0.002958,0.000022,0.000405,0.005136,0.001320,0.004879,0.000005,0.001322,0.021238,0.001353","0.000000,0.000000,0.000000,0.000004,0.000507,0.000000,0.002164,0.000003,0.000000,0.000000"
84,0.992500,0.002153,0.000600,"0.003129,0.000048,0.000486,0.005819,0.000235,0.004116,0.000001,0.000706,0.015054,0.006494","0.002527,0.000000,0.000000,0.011999,0.000000,0.000000,0.000001,0.000000,0.000000,0.000002"
85,0.991300,0.004831,-0.001200,"0.004620,0.000000,0.000828,0.004245,0.000712,0.009387,0.000332,0.000769,0.022999,0.006812","0.000000,0.000000,0.000982,0.000000,0.000002,0.000000,0.000000,0.001348,0.000000,0.000014"
86,0.991400,0.002486,0.000100,"0.004610,0.000014,0.000025,0.002633,0.002241,0.004179,0.000107,0.000796,0.018998,0.004735","0.000000,0.000000,0.000000,0.000000,0.000000,0.013358,0.000078,0.000000,0.000000,0.000002"
87,0.992200,0.003953,0.000800,"0.003533,0.000001,0.000091,0.004961,0.003749,0.006258,0.000219,0.000058,0.013424,0.007270","0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000014,0.000000,0.000000,0.000000"
88,0.991800,0.001179,-0.000400,"0.003972,0.000001,0.001356,0.003935,0.000174,0.004133,0.000084,0.000030,0.011346,0.003312","0.006173,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.010348,0.000000,0.000002"
89,0.991800,0.002477,0.000000,"0.002770,0.000000,0.000378,0.004968,0.000352,0.005086,0.000307,0.000017,0.012051,0.004248","0.000000,0.000000,0.000000,0.000000,0.000000,0.004626,0.000766,0.000002,0.000000,0.000002"
90,0.991500,0.002767,-0.000300,"0.002117,0.000001,0.000011,0.003313,0.000510,0.005928,0.000003,0.001036,0.009705,0.005635","0.000006,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000574,0.000001,0.000000"
91,0.992000,0.002230,0.000500,"0.002758,0.000030,0.000026,0.002789,0.000016,0.003473,0.000002,0.000026,0.008073,0.005118","0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001"
92,0.991900,0.001774,-0.000100,"0.002493,0.000000,0.000006,0.003551,0.000638,0.003749,0.000046,0.000001,0.003826,0.004294","0.000000,0.000000,0.000851,0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,0.000002"
93,0.992000,0.000767,0.000100,"0.003317,0.000000,0.000019,0.001180,0.000428,0.005423,0.000000,0.000156,0.011870,0.005470","0.000001,0.000000,0.013453,0.000000,0.000000,0.000003,0.000000,0.000000,0.000002,0.006693"
94,0.992700,0.002939,0.000700,"0.004424,0.000000,0.000000,0.001208,0.003053,0.001799,0.000027,0.001258,0.013092,0.004542","0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002"
95,0.992400,0.002044,-0.000300,"0.003467,0.000002,0.000000,0.000076,0.002054,0.003035,0.000007,0.000728,0.011844,0.004788","0.000000,0.005542,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000"
96,0.992000,0.003078,-0.000400,"0.001209,0.000000,0.000688,0.005135,0.000225,0.005120,0.000099,0.000021,0.017010,0.003628","0.000037,0.000000,0.000000,0.000002,0.000000,0.000001,0.001907,0.000000,0.000000,0.000383"
97,0.991900,0.002607,-0.000100,"0.002460,0.000000,0.000008,0.003955,0.002994,0.007075,0.000000,0.000001,0.015533,0.005434","0.001267,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000010,0.000000,0.010091"
98,0.992100,0.003461,0.000200,"0.004520,0.000000,0.000007,0.002537,0.004455,0.007505,0.000001,0.000000,0.017650,0.004373","0.000000,0.000000,0.000000,0.000001,0.006396,0.000000,0.000000,0.000002,0.000000,0.000004"
99,0.991600,0.003706,-0.000500,"0.004481,0.000001,0.000008,0.004020,0.004795,0.004781,0.000022,0.000000,0.014014,0.004966","0.000000,0.000000,0.000000,0.000004,0.000000,0.000002,0.000000,0.000000,0.000000,0.000002"
100,0.991600,0.002041,0.000000,"0.000700,0.000006,0.000069,0.003910,0.001841,0.001029,0.000373,0.000000,0.011387,0.001112","0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000001,0.000000,0.000000,0.000000"
